"lng","lat","time","elevation","date"
22.769768917484,-32.3057056048773,"18:45:46",917.39999961853,"2022-07-23"
22.7698272555301,-32.3057001566403,"18:45:47",917.200000762939,"2022-07-23"
22.7700239787975,-32.3056516254209,"18:45:51",917,"2022-07-23"
22.7703262302259,-32.3055765235685,"18:45:57",917,"2022-07-23"
22.7706587403247,-32.3055387211852,"18:46:03",917.200000762939,"2022-07-23"
22.7710325732062,-32.3055041877441,"18:46:09",917.60000038147,"2022-07-23"
22.7713925759474,-32.3054553212486,"18:46:15",917.39999961853,"2022-07-23"
22.7717415983955,-32.3054102266096,"18:46:21",916.60000038147,"2022-07-23"
22.772023146523,-32.3053750226163,"18:46:27",916.200000762939,"2022-07-23"
22.7723404853771,-32.3053911996894,"18:46:34",916.200000762939,"2022-07-23"
